id,character,dialogue,movie,race,is_evil
2142,Smeagol,And take it for Meee!,The Return of the King ,hobbit,false
2143,Gollum,For us.,The Return of the King ,hobbit,false
2144,Smeagol,"Yes, we meant for us! Gollum, gollum. The precious will be ours once the Hobbitses are dead! ",The Return of the King ,hobbit,false
2145,Merry And Pippin,Frodo! Frodo!,The Fellowship of the Ring ,hobbit,false
2146,Sam,"Strider! , Get off him!    ",The Fellowship of the Ring ,hobbit,false
2147,Merry,Aragorn!,The Fellowship of the Ring ,hobbit,false
2148,Merry,Frodo!,The Fellowship of the Ring ,hobbit,false
2149,Frodo,Strider!,The Fellowship of the Ring ,hobbit,false
2150,Gandalf,Into the Mines!,The Fellowship of the Ring ,maiar,false
2151,Theoden,Our people are safe.We have paid for it with many lives.,The Two Towers ,human,false
1283,Gollum,"What does it eats?Is it tasty? ,It tries to chokes us!We can't eats Hobbit food!We must starve!    ",The Two Towers ,hobbit,false
1284,Sam,"Well, starve, then. And good riddance!",The Two Towers ,hobbit,false
1684,Gollum,Not that way!,The Return of the King ,hobbit,false
2152,Gandalf,"We now have but one choice, we must face the long dark of     Moria. Be on your guard, there are older and fouler things than orcs     in the deep places of the world ",The Fellowship of the Ring ,maiar,false
2153,Gandalf,"The wealth of Moria is not in gold, or jewels, but Mithril",The Fellowship of the Ring ,maiar,false
2154,Gandalf,Bilbo had a shirt of mithril rings that Thorin gave him,The Fellowship of the Ring ,maiar,false
2155,Gimli,Aww that was a Kingly gift,The Fellowship of the Ring ,dwarf,false
2156,Gandalf,"Yes. I never told him, but its worth was greater than     the value of The Shire! ",The Fellowship of the Ring ,maiar,false
2157,Merry,Pippin!,The Fellowship of the Ring ,hobbit,false
2158,Gandalf,I've no memory of this place,The Fellowship of the Ring ,maiar,false
2159,Pippin,Are we lost ?,The Fellowship of the Ring ,hobbit,false
2160,Sam,Frodo! Come on!,The Fellowship of the Ring ,hobbit,false
2161,Pippin,Frodo!,The Fellowship of the Ring ,hobbit,false
2162,Sam,Come on faster!,The Fellowship of the Ring ,hobbit,false
2163,Frodo,How far to the nearest crossing ?,The Fellowship of the Ring ,hobbit,false
2164,Merry,"     The Brandywine Bridge, twenty miles.",The Fellowship of the Ring ,hobbit,false
2165,Frodo,Come on! ,The Fellowship of the Ring ,hobbit,false
2166,Gandalf,"His defeat at Helm's Deep showed our enemy one thing.    , He knows the Heir of     Elendil has come forth ,     Men are not as weak as he supposed. There is courage still. Strength enough,     perhaps, to challenge him. Sauron fears this. He will not ris",The Return of the King ,maiar,false
2167,Frodo,We're heading for the Prancing Pony.,The Fellowship of the Ring ,hobbit,false
2168,Galadriel,"And you Frodo Baggins, I give you the light of E'rendil, our most beloved star. , May it be a light for you in dark places, when all other lights go out. ",The Return of the King ,elf,false
2169,Frodo,We wish to at the Inn. Our business is our own.,The Fellowship of the Ring ,hobbit,false
2170,Galadriel,"Frodo! , Frodo!",The Fellowship of the Ring ,elf,false
2171,Theoden,Draw all our forces behind the wall.Bar the gate.And set a watch on the surround.,The Two Towers ,human,false
2172,Frodo,Excuse me ? ,The Fellowship of the Ring ,hobbit,false
2173,Bilbo,Today is my One Hundred and Eleventh birthday!    ,The Fellowship of the Ring ,hobbit,false
2174,Hobbit,Happy Birthday!,The Fellowship of the Ring ,hobbit,false
2175,Bilbo,"Alas, elevnty-one years is far too short a time to live     among such excellent and admirable hobbits., I don't know half of you half as well as I     should like and I like less than half of you, half as well as you deserve.    ",The Fellowship of the Ring ,hobbit,false
2177,Gandalf,"They guard it because they have hope. A faint and fading hope that one     day it will flower. That a king will come and this city will be as it once     was before it fell into decay. ,     The old wisdom born out of the west was forsaken. Kings made tom",The Return of the King ,maiar,false
2178,Pippin,Mordor.,The Return of the King ,hobbit,false
2179,Gandalf,"Yes, there it lies. This city has dwelt ever in the sight of its shadow.",The Return of the King ,maiar,false
2180,Pippin,A storm is coming.,The Return of the King ,hobbit,false
2181,Gandalf,"This is not the weather of the world. This is a device of Sauron's     making. A broil of fume he sends ahead of his host. The Orcs of Mordor have     no love of daylight, so he covers the face of the sun to ease their passage     along the road to war. W",The Return of the King ,maiar,false
2182,Pippin,"Well' Minas Tirith' very impressive. ,So where are off to next?",The Return of the King ,hobbit,false
2183,Gandalf,"Oh, it's too late for that Peregrin. There's no leaving this city.    ,     Help must come to us.",The Return of the King ,maiar,false
2184,Frodo,But I know you have something to do with it.      ,The Fellowship of the Ring ,hobbit,false
2185,Gandalf,Good gracious me!      ,The Fellowship of the Ring ,maiar,false
2186,Frodo,Before you came along we Bagginses were very well     thought of.      ,The Fellowship of the Ring ,hobbit,false
2187,Gandalf,Indeed?,The Fellowship of the Ring ,maiar,false
2188,Frodo,"We never had any adventures, or did anything     unexpected.      ",The Fellowship of the Ring ,hobbit,false
2049,Pippin,Merry.,The Two Towers ,hobbit,false
2189,Gandalf,"If you're referring to the incident with the dragon, I     was barely involved. All I did was give your uncle a little nudge out of the     door.      ",The Fellowship of the Ring ,maiar,false
2190,Frodo,"Whatever you did, you've been officially labelled as a     'disturber of the peace.'",The Fellowship of the Ring ,hobbit,false
2192,Hobbit,Gandalf! Gandalf!      ,The Fellowship of the Ring ,hobbit,false
2193,Hobbit,Fireworks Gandalf! Gandalf! Fireworks Gandalf!      ,The Fellowship of the Ring ,hobbit,false
2194,Hobbit,Hooooraaaay!       ,The Fellowship of the Ring ,hobbit,false
2195,Frodo,"Gandalf, I'm glad you're back. ",The Fellowship of the Ring ,hobbit,false
2196,Sam,You treacherous little toad! ,The Return of the King ,hobbit,false
2197,Gollum,"No, no! Master!",The Return of the King ,hobbit,false
2198,Frodo,No Sam! Leave him alone! ,The Return of the King ,hobbit,false
2199,Sam,I heard it from his own mouth. He means to murder us.,The Return of the King ,hobbit,false
2200,Gollum,"Never! Smeagol wouldn't hurt a fly! ,     Aaaagh he is a horrid, fat Hobbit who hates Smeagol and who makes up nasty lies!",The Return of the King ,hobbit,false
2201,Sam,You miserable little maggot! I'll stove your head in! ,The Return of the King ,hobbit,false
2203,Sam,Call me a liar? You're a liar!,The Return of the King ,hobbit,false
2204,Gollum,Waaaah! ,The Return of the King ,hobbit,false
2205,Frodo,If you scare him off then we are lost!,The Return of the King ,hobbit,false
2206,Sam,I don't care! I can't do it Mr Frodo! I won't wait around for him to     kill us!,The Return of the King ,hobbit,false
2207,Frodo,I'm not sending him away.,The Return of the King ,hobbit,false
2208,Sam,You don't see it do you? He's a villain.,The Return of the King ,hobbit,false
